title,url,score
Boot a Virtual iPhone via Apple's Virtualization.framework,https://github.com/Lakr233/vphone-cli,199
GUIs should be fully keyboard-driven,https://ckardaris.com/blog/2026/08/28/keyboard-driven-guis.html,715
TurboKV: Insanely fast Rust key-value store,https://github.com/kingroryg/turbokv,56
Htmx 4.0,https://four.htmx.org/announcements/2026-08-28-htmx-4.0.0-is-released,597
"StemDeck, a free, open-source and local AI stem separator",https://github.com/stemdeckapp/stemdeck,60
Our decision on Cursor following its acquisition by SpaceX,https://openai.com/index/our-decision-on-cursor-following-its-acquisition-by-spacex/,323
9th Circuit sides with states in Kalshi gambling fight,https://azmirror.com/2026/08/28/9th-circuit-sides-with-states-in-kalshi-gambling-fight-potentially-reviving-arizonas-prosecution/,108
U.S. sanctions against the A/I Collective,https://www.inventati.org/,541
I accidentally turned LLM memory into program analysis,https://pwning.systems/posts/llm-memory-program-analysis/,87
Does the Sumerian King List Align with Paleoclimate Events?,https://www.vectorian.be/articles/2026-06-07/sumerian-king-list-paleoclimate-alignment-explorer/,76
Just the rumour of a bug is enough to find an exploit these days,https://anil.recoil.org/notes/rumour-is-the-exploit,285
Inception-style curved map for turn-by-turn directions,https://www.orbify.eu/demo/,462
Monzo Stand-In,https://monzo.com/blog/tolerating-full-cloud-outages-with-monzo-stand-in,45
Review: Chuwi's $449 Unibook laptop is a funhouse-mirror MacBook Neo,https://arstechnica.com/gadgets/2026/08/review-chuwis-449-unibook-laptop-is-a-funhouse-mirror-macbook-neo/,21
Experiments with Plotter Art,https://sometimes.digital/posts/experiments-with-plotter-art/,30
PPWR lands another blow to an precarious tabletop industry,https://www.rascal.news/ppwr-lands-another-blow-to-an-already-precarious-tabletop-industry/,45
Kumander Linux – A Linux Distro with a Windows 7 Desktop,https://www.kumander.org/,31
Curvature Beziers: Improving on a timeless recipe,https://acko.net/blog/curvature-beziers/,101
The Twelve-Factor App (2025),https://12factor.net/,250
Identifying fake cosmetics using AI,https://groverlab.org/hnbfpr/2026-08-26-ai-counterfeit-cosmetics.html,46
GLM-5.3 is now open-weight,https://huggingface.co/zai-org/GLM-5.3,642
"Box of 300 Love Letters Showed Up, What Whimsical WWII Soldier Who Wrote Them?",https://www.smithsonianmag.com/history/this-box-of-300-love-letters-showed-up-out-of-the-blue-who-was-the-whimsical-world-war-ii-soldier-who-wrote-them-180989300/,4
Visual Analysis of Binary Files,https://binvis.io/#/,73
EasyEffects can improve laptop speaker sound quality,https://www.osnews.com/story/145883/easyeffects-should-be-part-of-every-linux-distribution-and-desktop-environment-to-massively-improve-laptop-speaker-sound-quality/,122
Autonomous Mathematical Discovery in an Open-World Multi-Agent Environment,https://arxiv.org/abs/2608.23691,94
"Flyway for freeloaders, rollback implemented in Python",https://aconcan.io/blog/flyway-for-freeloaders/,5
Verschlimmbesserung: The Word Your Software Updates Need,https://geekyschmidt.com/post/2026-08-25-verschlimmbesserung/,120
Twitterwebviewer.com Service Discontinued,https://twitterwebviewer.com/?,19
Migrating to HTTPX2,https://github.com/openai/openai-python/blob/main/httpx2.md,190
Processing in Memory: DRAM Is About to Do Math,https://ben3d.ca/blog/processing-in-memory,86
